Date,Open,High,Low,Close,Adj Close,Volume
2022-03-17,578.0,583.0,575.0,582.0,563.371826171875,60959900
2022-03-18,582.0,582.0,576.0,581.0,562.40380859375,46242430
2022-03-21,583.0,589.0,583.0,586.0,567.2437133789062,21400273
2022-03-22,577.0,586.0,577.0,583.0,564.3397216796875,20246949
2022-03-23,590.0,590.0,586.0,590.0,571.11572265625,25902069
2022-03-24,587.0,592.0,585.0,591.0,572.0836791992188,20060758
2022-03-25,597.0,598.0,595.0,598.0,578.8597412109375,26122381
2022-03-28,581.0,586.0,580.0,584.0,565.3077392578125,26391576
2022-03-29,586.0,589.0,584.0,589.0,570.1476440429688,14892032
2022-03-30,599.0,600.0,597.0,600.0,580.795654296875,41230239
2022-03-31,602.0,602.0,594.0,597.0,577.8916015625,22700114
2022-04-01,585.0,589.0,584.0,589.0,570.1476440429688,29732696
2022-04-06,578.0,580.0,575.0,578.0,559.4998168945312,37645873
2022-04-07,571.0,573.0,566.0,566.0,547.8839111328125,42904743
2022-04-08,567.0,570.0,566.0,567.0,548.8518676757812,28024587
2022-04-11,563.0,566.0,558.0,558.0,540.139892578125,36820094
2022-04-12,554.0,564.0,552.0,557.0,539.1719360351562,30671407
2022-04-13,564.0,576.0,563.0,573.0,554.6598510742188,35865970
2022-04-14,577.0,578.0,573.0,573.0,554.6598510742188,19056590
2022-04-15,562.0,566.0,561.0,562.0,544.0119018554688,28253360
2022-04-18,559.0,566.0,558.0,561.0,543.0439453125,15800959
2022-04-19,566.0,569.0,563.0,565.0,546.9158935546875,16614705
2022-04-20,570.0,570.0,562.0,570.0,551.755859375,27606307
2022-04-21,571.0,571.0,565.0,565.0,546.9158935546875,18383650
2022-04-22,558.0,559.0,557.0,558.0,540.139892578125,29283846
2022-04-25,550.0,552.0,546.0,547.0,529.4920043945312,43389591
2022-04-26,550.0,551.0,544.0,546.0,528.5240478515625,35825421
2022-04-27,530.0,532.0,526.0,526.0,509.1641540527344,55941533
2022-04-28,530.0,532.0,523.0,531.0,514.004150390625,45380836
2022-04-29,547.0,547.0,535.0,538.0,520.7801513671875,36664644
2022-05-03,538.0,540.0,530.0,531.0,514.004150390625,26317509
2022-05-04,533.0,537.0,530.0,534.0,516.9080810546875,16569622
2022-05-05,543.0,544.0,539.0,542.0,524.652099609375,20374772
2022-05-06,528.0,531.0,526.0,528.0,511.10015869140625,32467268
2022-05-09,523.0,524.0,520.0,520.0,503.356201171875,23709774
2022-05-10,506.0,519.0,505.0,518.0,501.42022705078125,41679907
2022-05-11,518.0,526.0,518.0,521.0,504.32421875,27157254
2022-05-12,516.0,518.0,505.0,505.0,488.8363037109375,32532963
2022-05-13,507.0,514.0,506.0,511.0,494.644287109375,29074177
2022-05-16,521.0,524.0,518.0,520.0,503.356201171875,21163106
2022-05-17,521.0,533.0,520.0,530.0,513.0360717773438,24496974
2022-05-18,541.0,541.0,534.0,538.0,520.7801513671875,30568176
2022-05-19,523.0,527.0,520.0,522.0,505.292236328125,29019751
2022-05-20,524.0,532.0,523.0,530.0,513.0360717773438,22651205
2022-05-23,533.0,534.0,528.0,528.0,511.10015869140625,17054170
2022-05-24,530.0,531.0,520.0,520.0,503.356201171875,17802308
2022-05-25,522.0,529.0,520.0,524.0,507.22821044921875,22176476
2022-05-26,523.0,525.0,513.0,514.0,497.54827880859375,28327403
2022-05-27,524.0,530.0,522.0,530.0,513.0360717773438,27866643
2022-05-30,538.0,547.0,537.0,547.0,529.4920043945312,34476433
2022-05-31,542.0,560.0,540.0,560.0,542.075927734375,72405873
2022-06-01,550.0,555.0,548.0,549.0,531.4280395507812,29155176
2022-06-02,544.0,545.0,540.0,540.0,522.7161254882812,21420890
2022-06-06,541.0,544.0,538.0,540.0,522.7161254882812,17615003
2022-06-07,535.0,538.0,532.0,535.0,517.8761596679688,19497532
2022-06-08,539.0,545.0,538.0,544.0,526.5880126953125,18835521
2022-06-09,538.0,542.0,537.0,541.0,523.68408203125,16338602
2022-06-10,530.0,533.0,529.0,530.0,513.0360717773438,21357130
2022-06-13,518.0,519.0,515.0,516.0,499.4842834472656,32854092
2022-06-14,507.0,514.0,507.0,513.0,496.5802917480469,36304444
2022-06-15,508.0,515.0,508.0,509.0,492.7082824707031,35680283
2022-06-16,515.0,516.0,507.0,508.0,494.4114990234375,26909199
2022-06-17,499.5,503.0,499.0,501.0,487.5987548828125,43566737
2022-06-20,500.0,502.0,495.0,498.0,484.6789855957031,34209693
2022-06-21,501.0,505.0,499.0,505.0,491.49176025390625,33223685
2022-06-22,501.0,503.0,494.5,494.5,481.2726135253906,31034893
2022-06-23,492.0,493.5,485.0,485.5,472.5133361816406,43548940
2022-06-24,489.5,492.5,485.5,486.5,473.4866027832031,27911980
2022-06-27,496.0,506.0,495.5,498.5,485.1656188964844,37909718
2022-06-28,496.0,500.0,496.0,497.5,484.19232177734375,15274062
2022-06-29,496.0,498.5,491.0,491.0,477.8662109375,30533789
2022-06-30,484.5,486.5,476.0,476.0,463.2674560546875,46311432
2022-07-01,471.5,474.0,452.5,453.5,441.3692932128906,61744377
2022-07-04,443.0,451.5,440.0,440.0,428.23046875,52445919
2022-07-05,449.5,451.5,433.0,446.0,434.0699157714844,50084244
2022-07-06,442.0,447.5,435.0,435.5,423.8507995605469,40549763
2022-07-07,442.0,459.0,438.5,457.5,445.2622985839844,48151202
2022-07-08,470.0,470.5,461.5,467.0,454.5081787109375,37897895
2022-07-11,468.0,470.5,461.0,462.0,449.6419677734375,21941710
2022-07-12,458.0,458.0,449.5,449.5,437.4762878417969,23036423
2022-07-13,470.5,473.0,466.0,470.5,457.9145812988281,44035695
2022-07-14,466.0,477.5,463.0,475.0,462.2942199707031,31936258
2022-07-15,481.0,494.0,477.0,492.5,479.3260803222656,51846909
2022-07-18,495.5,498.5,488.5,495.5,482.245849609375,39179575
2022-07-19,487.5,493.0,486.5,491.0,477.8662109375,19874865
2022-07-20,502.0,503.0,491.5,495.0,481.7591857910156,35436652
2022-07-21,496.0,501.0,494.0,501.0,487.5987548828125,22285593
2022-07-22,505.0,505.0,500.0,503.0,489.5452575683594,25216400
2022-07-25,500.0,503.0,498.0,499.5,486.1388244628906,15245346
2022-07-26,499.5,499.5,491.0,495.0,481.7591857910156,18024265
2022-07-27,494.0,502.0,491.0,502.0,488.57196044921875,17166365
2022-07-28,509.0,509.0,499.0,501.0,487.5987548828125,33844011
2022-07-29,508.0,510.0,504.0,509.0,495.3847351074219,29045617
2022-08-01,506.0,508.0,500.0,504.0,490.5184631347656,24117969
2022-08-02,494.0,496.0,488.5,492.0,478.8394775390625,39838155
2022-08-03,494.0,501.0,493.0,501.0,487.5987548828125,27603474
2022-08-04,499.0,503.0,495.0,500.0,486.6254577636719,26027618
2022-08-05,509.0,516.0,507.0,516.0,502.197509765625,32784279
2022-08-08,510.0,515.0,509.0,512.0,498.30450439453125,19333128
2022-08-09,507.0,511.0,504.0,510.0,496.35797119140625,21164373
2022-08-10,500.0,503.0,499.5,500.0,486.6254577636719,20861380
2022-08-11,513.0,514.0,510.0,514.0,500.2510070800781,23740033
2022-08-12,515.0,518.0,514.0,517.0,503.17071533203125,19535923
2022-08-15,520.0,524.0,519.0,523.0,509.01025390625,21273166
2022-08-16,526.0,526.0,523.0,525.0,510.9567565917969,20720414
2022-08-17,524.0,527.0,521.0,527.0,512.9032592773438,27143102
2022-08-18,520.0,521.0,519.0,520.0,506.0904846191406,17831084
2022-08-19,519.0,523.0,517.0,519.0,505.11724853515625,14022812
2022-08-22,511.0,514.0,510.0,512.0,498.30450439453125,11494000
2022-08-23,503.0,506.0,502.0,504.0,490.5184631347656,19191108
2022-08-24,504.0,508.0,503.0,503.0,489.5452575683594,14363212
2022-08-25,505.0,510.0,504.0,508.0,494.4114990234375,9357138
2022-08-26,513.0,515.0,511.0,512.0,498.30450439453125,12914846
2022-08-29,497.0,502.0,496.0,498.5,485.1656188964844,26590824
2022-08-30,497.5,500.0,496.0,496.0,482.7325134277344,24214535
2022-08-31,492.0,505.0,492.0,505.0,491.49176025390625,39357089
2022-09-01,495.0,495.5,490.0,490.5,477.3796081542969,39168672
2022-09-02,488.0,489.5,485.0,485.0,472.0267639160156,29982959
2022-09-05,485.0,488.0,484.0,486.0,472.9999694824219,15903415
2022-09-06,488.5,491.5,486.5,489.0,475.9197082519531,16700285
2022-09-07,477.0,478.0,472.0,472.5,459.8611145019531,34678562
2022-09-08,473.0,475.0,472.0,475.0,462.2942199707031,27931552
2022-09-12,485.0,491.0,485.0,486.5,473.4866027832031,21597212
2022-09-13,495.0,495.0,491.0,493.0,479.8127136230469,16507036
2022-09-14,478.5,482.5,476.0,480.0,467.16046142578125,22645714
2022-09-15,476.0,480.0,476.0,476.5,466.4263000488281,23104850
2022-09-16,470.5,472.0,469.0,472.0,462.0214538574219,39087513
2022-09-19,472.0,473.0,466.5,467.0,457.12713623046875,17182380
2022-09-20,470.5,478.0,470.0,476.5,466.4263000488281,19842582
2022-09-21,473.5,475.5,468.5,471.0,461.0426025390625,24154633
2022-09-22,462.0,468.0,459.0,464.5,454.67999267578125,29702508
2022-09-23,458.5,460.5,455.0,455.0,445.380859375,29757787
2022-09-26,443.0,454.0,443.0,446.5,437.0605163574219,32342267
2022-09-27,449.0,451.5,446.0,448.0,438.52880859375,24961404
2022-09-28,447.0,449.0,438.0,438.0,428.7402038574219,34402652
2022-09-29,443.0,443.5,432.0,435.0,425.80364990234375,41094780
2022-09-30,424.5,427.5,422.0,422.0,413.0784912109375,48266800
2022-10-03,418.5,424.5,416.5,417.0,408.1842041015625,36044395
2022-10-04,429.5,432.0,427.0,429.0,419.9305114746094,40375000
2022-10-05,444.5,451.0,442.0,445.0,435.59222412109375,46496536
2022-10-06,450.5,451.0,447.0,451.0,441.46539306640625,30331834
2022-10-07,448.5,448.5,437.0,438.0,428.7402038574219,31941781
2022-10-11,408.0,412.5,401.0,401.5,393.0118713378906,95793819
2022-10-12,397.0,400.0,395.5,397.5,389.0964660644531,53570085
2022-10-13,400.5,403.0,395.0,395.0,386.6493225097656,38046284
2022-10-14,414.5,416.0,409.0,412.0,403.2899169921875,54504366
2022-10-17,400.0,403.5,396.0,397.0,388.6070251464844,41512192
2022-10-18,406.5,407.0,399.5,407.0,398.3955993652344,40093216
2022-10-19,404.0,405.0,395.5,395.5,387.13873291015625,46385177
2022-10-20,391.0,397.5,386.0,397.5,389.0964660644531,52938069
2022-10-21,395.5,398.5,389.5,389.5,381.2655944824219,35923505
2022-10-24,395.0,397.5,387.0,387.0,378.81842041015625,46714078
2022-10-25,380.0,382.5,371.0,371.0,363.1567077636719,76416687
2022-10-26,370.5,379.0,370.0,376.0,368.05096435546875,58850484
2022-10-27,384.5,389.0,382.5,385.5,377.3501281738281,45684455
2022-10-28,379.5,382.0,375.0,379.5,371.47698974609375,40184472
2022-10-31,386.0,390.0,381.0,390.0,381.7550354003906,38409054
2022-11-01,388.5,393.0,386.0,391.5,383.2232971191406,41426496
2022-11-02,391.0,395.0,388.5,395.0,386.6493225097656,22535650
2022-11-03,385.0,387.0,383.5,384.0,375.8818359375,39731333
2022-11-04,381.0,384.5,378.5,382.0,373.92413330078125,28397417
2022-11-07,390.0,393.0,387.0,390.0,381.7550354003906,35387706
2022-11-08,395.0,399.5,394.0,399.0,390.56475830078125,31838223
2022-11-09,403.5,417.0,403.5,417.0,408.1842041015625,52260831
2022-11-10,409.0,411.5,406.0,407.5,398.8850402832031,32044942
2022-11-11,441.5,442.0,435.0,441.5,432.1662292480469,80016195
2022-11-14,450.0,450.0,441.5,445.0,435.59222412109375,61933190
2022-11-15,465.0,487.0,462.0,480.0,469.852294921875,113379796
2022-11-16,491.5,494.0,481.5,487.0,476.704345703125,85726375
2022-11-17,482.5,485.0,475.0,485.0,474.74664306640625,45144984
2022-11-18,491.5,494.0,486.0,487.0,476.704345703125,35859717
2022-11-21,487.5,489.5,480.5,482.0,471.8100280761719,29710180
2022-11-22,476.0,491.0,476.0,491.0,480.6197509765625,37343127
2022-11-23,494.5,496.0,488.5,492.0,481.5986328125,33475337
2022-11-24,494.0,496.0,492.0,496.0,485.5140686035156,27396552
2022-11-25,494.0,498.0,494.0,498.0,487.4718017578125,39949969
2022-11-28,486.0,490.0,480.5,480.5,470.3417663574219,38926919
2022-11-29,473.5,488.0,473.0,487.0,476.704345703125,38182197
2022-11-30,483.0,490.0,482.5,490.0,479.64093017578125,57111603
2022-12-01,506.0,508.0,498.5,498.5,487.961181640625,41746878
2022-12-02,490.0,497.0,490.0,492.5,482.0880432128906,28319679
2022-12-05,491.5,497.5,489.0,489.0,478.6620178222656,28360444
2022-12-06,488.0,489.0,478.0,478.0,467.89459228515625,40561068
2022-12-07,477.0,485.5,475.0,475.0,464.9580078125,36563503
2022-12-08,475.0,475.0,467.0,471.5,461.531982421875,27238567
2022-12-09,478.0,484.5,476.0,481.5,471.3205871582031,25915337
2022-12-12,476.5,478.0,473.5,475.0,464.9580078125,20973334
2022-12-13,473.0,476.0,471.0,471.5,461.531982421875,33272826
2022-12-14,472.0,480.5,472.0,480.5,470.3417663574219,30636639
2022-12-15,476.0,481.5,474.5,480.5,473.0491027832031,24222008
2022-12-16,466.5,471.0,465.5,471.0,463.6964111328125,47601400
2022-12-19,466.5,469.5,465.0,466.5,459.2662048339844,21075559
2022-12-20,465.0,467.0,455.0,457.5,450.40570068359375,31139235
2022-12-21,460.0,463.0,457.0,459.0,451.8824768066406,36182644
2022-12-22,466.5,469.0,464.0,468.0,460.742919921875,14047382
2022-12-23,457.5,458.5,455.0,455.0,447.94451904296875,24927413
2022-12-26,454.0,457.0,453.5,456.5,449.4212341308594,8793306
2022-12-27,458.0,462.5,457.0,457.0,449.91351318359375,10264001
2022-12-28,451.0,452.0,446.0,451.0,444.00653076171875,32578949
2022-12-29,444.0,449.5,442.5,446.0,439.0840759277344,23020759
2022-12-30,455.0,456.5,448.5,448.5,441.5452880859375,21683478
